nombre	descripcion	precio	stock
estuche	Estuche compacto ideal para lapices o accesorios pequeños	2990	50
parca	Parca abrigada impermeable perfecta para el invierno	24990	20
poleron_azul	Poleron azul de algodon con cierre y capucha	15990	35
gorra	Gorra ajustable color negro con visera curva	5990	40
poleron_blanco	Poleron blanco basico de algodon suave	14990	30
termo	Termo de acero inoxidable de 500ml con tapa hermetica	8990	25
ucenin	Peluche suave de Ucenin ideal para regalar o decorar	11990	15
llavero	Llavero metálico con diseño moderno y resistente	2990	60
polera	Polera de algodón con estampado creativo y cómodo	12990	45
mousepad	Mousepad grande con superficie antideslizante	4990	50
pluma	Pluma elegante con tinta negra y diseño ergonómico	1990	70
chaqueta	Chaqueta ligera e impermeable ideal para todo clima	21990	25
tazon	Tazón de cerámica con diseño divertido y resistente	3990	40
agenda	Agenda diaria con secciones organizadoras y tapa dura	7990	30
sticker	Set de stickers variados para decorar cuadernos o laptops	990	100
tote_bag	Bolsa tote de algodón reutilizable, robusta y con estilo	4990	50
lapicera    Lapicera retráctil de calidad profesional con grip cómodo	1490	80
